# x1 x2 x3 x4 x5 x6 x7 x8 x9
# 23331 9
# 11 21 101 9
 2.90282683e-01 -2.00000000e-01 -1.00000000e-01  6.05615034e-01 -5.96433151e-01 -1.00000000e-01  7.07256894e-02 -6.96532236e-02  1.04614358e+00
 2.96880017e-01 -2.00000000e-01 -1.00000000e-01  6.09350569e-01 -5.92616196e-01 -1.00000000e-01  7.11619163e-02 -6.92074471e-02  1.04614353e+00
 3.03477351e-01 -2.00000000e-01 -1.00000000e-01  6.13062011e-01 -5.88775887e-01 -1.00000000e-01  7.15953027e-02 -6.87590010e-02  1.04614352e+00
 3.10074685e-01 -2.00000000e-01 -1.00000000e-01  6.16749281e-01 -5.84912299e-01 -1.00000000e-01  7.20258590e-02 -6.83078652e-02  1.04614353e+00
 3.16672018e-01 -2.00000000e-01 -1.00000000e-01  6.20412186e-01 -5.81025639e-01 -1.00000000e-01  7.24535807e-02 -6.78540344e-02  1.04614355e+00
 3.23269353e-01 -2.00000000e-01 -1.00000000e-01  6.24050619e-01 -5.77116016e-01 -1.00000000e-01  7.28784734e-02 -6.73974918e-02  1.04614358e+00
 3.29866686e-01 -2.00000000e-01 -1.00000000e-01  6.27664419e-01 -5.73183609e-01 -1.00000000e-01  7.33005352e-02 -6.69382276e-02  1.04614358e+00
 3.36464019e-01 -2.00000000e-01 -1.00000000e-01  6.31253395e-01 -5.69228622e-01 -1.00000000e-01  7.37197459e-02 -6.64762378e-02  1.04614355e+00
 3.43061354e-01 -2.00000000e-01 -1.00000000e-01  6.34817487e-01 -5.65251121e-01 -1.00000000e-01  7.41360169e-02 -6.60116566e-02  1.04614352e+00
 3.49658687e-01 -2.00000000e-01 -1.00000000e-01  6.38356521e-01 -5.61251302e-01 -1.00000000e-01  7.45493307e-02 -6.55445574e-02  1.04614356e+00
 3.56256021e-01 -2.00000000e-01 -1.00000000e-01  6.41870353e-01 -5.57229326e-01 -1.00000000e-01  7.49596763e-02 -6.50749228e-02  1.04614363e+00
 3.62853355e-01 -2.00000000e-01 -1.00000000e-01  6.45358812e-01 -5.53185391e-01 -1.00000000e-01  7.53670386e-02 -6.46027396e-02  1.04614369e+00
